,index,hotbit
0,0,-63.891428155765254
1,1,-63.883555518039486
2,2,-63.88211760723249
3,3,-63.85394697796829
4,4,-63.84496617397133
5,5,-63.8439378246058
6,6,-63.83639711198583
7,7,-63.827512528572015
8,8,-63.82673633680844
9,9,-63.81364148315669
10,10,-63.80794133999228
11,11,-63.80746908705879
12,12,-63.80015583586885
13,13,-63.79942228138003
14,14,-63.79926094393761
15,15,-63.79893460598544
16,16,-63.79669794769217
17,17,-63.788539395175405
18,18,-63.78304907403441
19,19,-63.77636100207337
20,20,-63.77574889294971
21,21,-63.77404023164422
22,22,-63.73705496197795
