,index,hotbit,gaussian
112,112.0,-2838.59427016511,
113,112.99999999999999,-2838.586003925876,
114,114.0,-2838.585181452283,
115,115.0,-2838.582796911637,
116,116.0,-2838.579988046192,
117,117.0,-2838.578466193298,
118,118.00000000000001,-2838.5777984881092,
119,119.0,-2838.5770108093207,
120,120.0,-2838.572930777973,
121,120.99999999999999,-2838.560636636866,
122,122.0,-2838.559214799297,
123,123.0,-2838.558318041549,
124,123.99999999999999,-2838.5538934616625,
125,125.0,-2838.552178811887,
126,126.00000000000001,-2838.5510744091625,
127,127.0,-2838.550479806661,
128,128.0,-2838.5466570258736,
129,129.0,-2838.5446116094513,
130,130.0,-2838.5418495022536,
131,131.0,-2838.537643531867,
132,132.0,-2838.535185527736,
133,133.0,-2838.5345365832572,
134,134.0,-2838.5343349270515,
135,135.0,-2838.5337428525763,
136,136.0,-2838.531891896924,
137,137.0,-2838.5288753123123,
138,138.0,-2838.5280617288404,
139,139.0,-2838.523380522714,
140,140.0,-2838.5194167662185,
141,141.0,-2838.51346421508,
142,142.0,-2838.5070202439397,
143,143.0,-2838.506598714811,
144,144.0,-2838.5017395520836,
145,145.0,-2838.500650089601,
146,146.0,-2838.499258588278,
147,147.0,-2838.496926759588,
148,148.0,-2838.4965730056715,
149,149.0,-2838.4931710370847,
150,150.0,-2838.4921317814997,
151,151.0,-2838.491776427049,
152,152.0,-2838.4865493379125,
153,153.0,-2838.486112507868,
154,154.0,-2838.4850637271074,
155,155.0,-2838.4850449679966,
156,156.0,-2838.4810531427497,
157,157.0,-2838.480369224602,
158,158.0,-2838.4724999581017,
159,159.0,-2838.4673029149094,
160,160.0,-2838.45983857054,
161,161.0,-2838.4544243036007,
162,162.0,-2838.4533573665985,
163,163.0,-2838.4525378147564,
164,164.0,-2838.444501461813,
165,165.0,-2838.4426199697214,
166,166.0,-2838.439583242433,
167,167.0,-2838.4391651120895,
168,168.0,-2838.4373411060837,
169,169.0,-2838.431845115768,
170,170.0,-2838.4312625529024,
171,171.0,-2838.4306949761813,
172,172.0,-2838.4283033655365,
173,173.0,-2838.4261812199356,
174,174.0,-2838.4241577525836,
175,175.0,-2838.4183958116178,
176,176.0,-2838.4183699309215,
177,176.99999999999997,-2838.417354665381,
178,178.0,-2838.414824872548,
179,179.0,-2838.414485153289,
180,180.0,-2838.4094852174494,
181,181.0,-2838.4082604607315,
182,182.00000000000003,-2838.4064692764828,
183,183.0,-2838.405246897491,
184,184.0,-2838.4045774609467,
185,185.0,-2838.4037342887264,
186,186.0,-2838.4033387421982,
187,187.00000000000003,-2838.3999674695096,
188,187.99999999999997,-2838.398927354454,
189,189.0,-2838.3979021834557,
190,190.0,-2838.397763015518,
191,191.0,-2838.3973593550413,
192,192.0,-2838.39673134257,
193,192.99999999999997,-2838.396109969588,
194,194.0,-2838.391125472015,
195,195.0,-2838.3899822867716,
196,196.0,-2838.385357447508,
197,197.0,-2838.38410154041,
198,198.00000000000003,-2838.378489447617,
199,198.99999999999997,-2838.3782248713587,
200,200.0,-2838.374925566528,
201,201.0,-2838.368517839583,
202,202.0,-2838.362752252844,
203,203.0,-2838.361804118341,
204,203.99999999999997,-2838.359738337003,
205,205.0,-2838.358921230836,
206,206.0,-2838.358634934057,
207,207.0,-2838.356856993125,
208,208.0,-2838.353438354537,
209,209.00000000000003,-2838.352083362344,
210,210.0,-2838.341920376553,
211,211.0,-2838.3399304311247,
212,212.0,-2838.339137266631,
213,213.0,-2838.3356426700734,
214,214.00000000000003,-2838.33123003465,
215,214.99999999999997,-2838.330357203777,
216,216.0,-2838.3288169878997,
217,217.0,-2838.3283621981277,
218,218.0,-2838.3283149385397,
219,219.0,-2838.327394102273,
220,220.00000000000003,-2838.3270767516265,
221,221.0,-2838.3223567457285,
222,222.0,-2838.306969704424,
223,223.0,-2838.3026687286833,
224,224.0,-2838.30236985363,
225,225.00000000000003,-2838.301624900067,
226,225.99999999999997,-2838.2996939095383,
227,227.0,-2838.298567762363,
228,228.0,-2838.2983363183735,
229,229.0,-2838.28985415615,
230,230.0,-2838.2861102972834,
231,230.99999999999997,-2838.2828959785747,
232,232.0,-2838.2786506359917,
233,233.0,-2838.2785385661155,
234,234.0,-2838.2761779030197,
235,235.0,-2838.269363643612,
236,236.00000000000003,-2838.2610580593696,
237,236.99999999999997,-2838.2595113180087,
238,238.0,-2838.2547426901506,
239,239.0,-2838.241677052805,
240,240.0,-2838.2407228617803,
241,241.0,-2838.238791916684,
242,241.99999999999997,-2838.2345258294845,
243,243.0,-2838.2272249553257,
244,244.0,-2838.2262662877665,
245,245.0,-2838.22573045376,
246,246.0,-2838.2243227206477,
247,247.00000000000003,-2838.2240280199817,
248,247.99999999999997,-2838.2178221834142,
249,249.0,-2838.2176841493297,
250,250.0,-2838.2141520143728,
251,251.0,-2838.207933620594,
252,252.00000000000003,-2838.2031459143905,
253,252.99999999999997,-2838.2010702544785,
254,254.0,-2838.193067578148,
255,255.0,-2838.192491476889,
256,256.0,-2838.190298422219,
257,257.0,-2838.17239656302,
258,258.0,-2838.1677430939717,
259,259.0,-2838.1666762298905,
260,260.0,-2838.1564939143686,
261,261.0,-2838.1541428180703,
262,262.0,-2838.137824412646,
263,263.0,-2838.1287704339557,
264,264.0,-2838.122288903739,
265,265.0,-2838.118071454531,
266,266.0,-2838.11623603244,
267,267.0,-2838.11573629404,
268,268.0,-2838.1152684880794,
269,269.0,-2838.0846021839607,
270,270.0,-2838.081076401865,
271,271.0,-2838.0807940346517,
272,272.0,-2838.0738239048055,
273,273.0,-2838.07268324697,
274,274.0,-2838.057684757416,
275,275.0,-2838.050302690483,
276,276.0,-2838.0500902481194,
