,index,hotbit,gaussian
0,0.0,-1485.7075424217796,-169801.6980419691
1,1.0,-1485.5238207055174,-169797.24303181857
2,2.0,-1485.482864494465,-169801.6980419691
3,3.0,-1484.8441062869513,-169797.24303181857
4,4.0,-1484.6178997167199,-169797.24303181857
5,5.0,-1484.5993385369472,-169801.6980419691
6,6.0,-1484.5005823843057,-169801.6980419691
7,7.0,-1484.4202561148397,-169798.61201766477
8,8.0,-1484.3256633085268,-169801.6980419691
9,9.0,-1484.2010137708342,-169801.6980419691
10,10.0,-1484.111008787295,-169801.6980419691
11,11.0,-1483.9563459055414,-169801.6980419691
12,12.0,-1483.7779808300877,-169798.61201766477
13,13.0,-1483.7410825967618,-169801.6980419691
14,14.0,-1483.700769753292,-169801.6980419691
15,15.0,-1483.6096765874227,-169801.6980419691
16,16.0,-1483.5435524954596,-169801.6980419691
17,17.0,-1483.50912323879,-169801.6980419691
18,18.0,-1483.482153561507,-169801.6980419691
19,19.0,-1483.4377558745634,-169801.6980419691
20,20.0,-1483.3787197188924,-169797.24303181857
21,21.0,-1483.3679773522924,-169801.6980419691
22,22.0,-1483.3533273045025,-169801.6980419691
23,23.0,-1483.2964736749957,-169801.6980419691
24,24.0,-1483.174265655407,-169801.6980419691
25,25.0,-1483.054636914677,-169801.6980419691
26,26.0,-1483.0274139910275,-169801.6980419691
27,27.0,-1482.8636977821745,-169801.6980419691
28,28.0,-1482.4381402905515,-169798.61201766477
29,29.0,-1482.3234665316052,-169801.6980419691
30,30.0,-1482.037889771119,-169797.24303181857
31,30.999999999999996,-1481.9958866569482,-169801.6980419691
32,32.0,-1481.9397323347832,-169798.61201766477
33,33.0,-1481.6288156432886,-169798.61201766477
