,index,hotbit
0,0,-63.891428155765425
1,1,-63.883555518038634
2,2,-63.882117607232374
3,3,-63.853946977966984
4,4,-63.84496617419779
5,5,-63.84393782427799
6,6,-63.8363971119864
7,7,-63.82751252856508
8,8,-63.826736336807585
9,9,-63.81364148315663
10,10,-63.80794133998876
11,11,-63.807469087058905
12,12,-63.80015583663578
13,13,-63.79942228138049
14,14,-63.799260943937554
15,15,-63.79893460598538
16,16,-63.79669794769217
17,17,-63.788539395175405
18,18,-63.783049074034466
19,19,-63.77636100209554
20,20,-63.775748892949764
21,21,-63.774040231646495
22,22,-63.73705496197783
