,index,hotbit,gaussian
0,0.0,-2843.271996602967,-174874.37887432915
1,1.0,-2842.9630146424392,-174874.4562685736
2,2.0,-2842.3665743096203,-174872.10963458157
3,3.0,-2842.251726994982,-174872.520399946
4,4.0,-2842.1740607303286,-174872.15469157425
5,5.0,-2842.0088201894896,-174872.14285778542
6,6.0,-2841.906889629504,-174874.01664648356
7,7.0,-2841.876703196831,-174872.49242917242
8,8.0,-2841.7128621042857,-174874.4562685736
9,9.0,-2841.6666711846424,-174869.46019481722
10,10.0,-2841.665958991851,-174872.5019847987
11,11.0,-2841.580407202801,-174869.9707563578
12,12.0,-2841.5447553692293,-174874.4562685736
13,13.0,-2841.4768676365447,-174869.46019481722
14,14.0,-2841.467127452111,-174874.3863416397
15,15.0,-2841.456436559131,-174872.06236270868
16,16.0,-2841.4395672648543,-174873.7823121523
17,17.0,-2841.3243007317155,-174874.30850441926
18,18.0,-2841.2694082266858,-174872.60950141464
19,19.0,-2841.2311089709006,-174874.4562685736
20,20.0,-2841.2223338405333,-174874.37887432915
21,21.0,-2841.2207069750452,-174873.73434417415
22,22.0,-2841.1632925155764,-174872.06236270868
23,23.0,-2841.1550118394903,-174870.86113822143
24,24.0,-2841.148089854389,-174873.9171034365
25,25.0,-2841.0941826365533,-174874.01930433986
26,26.0,-2841.0721683059705,-174872.02097608897
27,27.0,-2841.0251725995267,-174872.15469157425
28,28.0,-2840.945905499312,-174874.30850441926
29,29.0,-2840.9394394178667,-174874.01930433986
30,30.0,-2840.9038567040216,-174874.3863416397
31,30.999999999999996,-2840.8313476708377,-174874.3863416397
32,32.0,-2840.8140867976254,-174874.4562685736
33,33.0,-2840.7736139760555,-174874.3863416397
34,34.0,-2840.7332437178707,-174874.4562685736
35,35.0,-2840.7244470741584,-174872.10963458157
36,36.0,-2840.689666901742,-174874.01664648356
37,37.0,-2840.5937508293177,-174874.3863416397
38,38.0,-2840.547442414994,-174874.45455995167
39,39.0,-2840.4998875693773,-174873.97361452426
40,40.0,-2840.487119471991,-174873.7823121523
41,41.0,-2840.483479997775,-174874.37887432915
42,42.0,-2840.4628247976884,-174872.06236270868
43,43.0,-2840.46043655615,-174872.520399946
44,44.0,-2840.4476854453233,-174874.9643621047
45,45.0,-2840.4463246446844,-174872.14285778542
46,46.0,-2840.432581430445,-174873.73434417415
47,46.99999999999999,-2840.4292812583703,-174873.97361452426
48,48.0,-2840.425976779655,
49,49.0,-2840.4206864941,
50,50.0,-2840.4156381795697,
51,50.99999999999999,-2840.4115205835456,
52,52.0,-2840.39277295192,
53,53.0,-2840.373095863655,
54,54.0,-2840.3687854267228,
55,55.00000000000001,-2840.366058076329,
56,56.0,-2840.3592559894355,
57,57.0,-2840.3550473606906,
58,58.0,-2840.347686104414,
59,59.00000000000001,-2840.341998783424,
60,60.0,-2840.328867169388,
61,61.0,-2840.3217221040986,
62,61.99999999999999,-2840.3153291348704,
63,63.00000000000001,-2840.307157208651,
64,64.0,-2840.305561554404,
