,index,hotbit,gaussian
231,230.99999999999997,-2841.071536531085,
232,232.0,-2841.070942921289,
233,233.0,-2841.066974474487,
234,234.0,-2841.058154250351,
235,235.0,-2841.0500400660003,
236,236.00000000000003,-2841.041385772909,
237,236.99999999999997,-2841.030969523947,
238,238.0,-2841.0173568701293,
239,239.0,-2841.0025998960405,
240,240.0,-2841.0016408182487,
241,241.0,-2841.0010368742833,
242,241.99999999999997,-2840.9947362372077,
243,243.0,-2840.9820412999084,
244,244.0,-2840.9819015834473,
245,245.0,-2840.981841612433,
246,246.0,-2840.980877851457,
247,247.00000000000003,-2840.9790273185235,
248,247.99999999999997,-2840.976117150856,
249,249.0,-2840.94994451092,
250,250.0,-2840.9414544830124,
251,251.0,-2840.934574166233,
252,252.00000000000003,-2840.933135107072,
253,252.99999999999997,-2840.923153690929,
254,254.0,-2840.9140534852972,
255,255.0,-2840.908423681931,
256,256.0,-2840.89814728307,
257,257.0,-2840.8948966437633,
258,258.0,-2840.8938572353854,
259,259.0,-2840.8888767417184,
260,260.0,-2840.886685777181,
261,261.0,-2840.8820918338024,
262,262.0,-2840.8818268822097,
263,263.0,-2840.8798889085333,
264,264.0,-2840.879654889013,
265,265.0,-2840.876691678238,
266,266.0,-2840.8636039174808,
267,267.0,-2840.86239156137,
268,268.0,-2840.855739814836,
269,269.0,-2840.8546009590627,
270,270.0,-2840.846868747398,
271,271.0,-2840.844632327206,
272,272.0,-2840.8355987130712,
273,273.0,-2840.8320504021954,
274,274.0,-2840.822378320221,
275,275.0,-2840.8138889879556,
276,276.0,-2840.8092254716335,
277,277.0,-2840.8049334003267,
278,278.0,-2840.8027885087995,
279,279.0,-2840.802460307973,
280,280.0,-2840.796294788452,
281,281.0,-2840.780129776971,
282,282.0,-2840.768412592194,
283,283.0,-2840.7667219619634,
284,284.0,-2840.7655173163816,
285,285.0,-2840.7652008777372,
286,286.0,-2840.762937850663,
287,287.0,-2840.759698637906,
288,288.0,-2840.7547310687582,
289,289.0,-2840.740942684071,
290,290.0,-2840.7356247873404,
291,291.0,-2840.7259335793833,
292,292.0,-2840.7073979001498,
293,293.0,-2840.705471220058,
294,294.0,-2840.7045244156893,
295,295.0,-2840.7023350576364,
296,296.0,-2840.687561739783,
297,297.0,-2840.6845332965268,
298,298.0,-2840.6816502562606,
299,299.0,-2840.6816489989833,
300,300.0,-2840.6801633337072,
301,301.0,-2840.6786539062523,
302,302.0,-2840.6704080159275,
303,303.0,-2840.6676817246926,
304,304.0,-2840.665963114361,
305,305.0,-2840.664861593013,
306,306.0,-2840.6615240229685,
307,307.0,-2840.6508753342023,
308,308.0,-2840.6486225278672,
309,309.0,-2840.643158460632,
310,310.0,-2840.641759783937,
311,311.0,-2840.6409999662656,
312,312.0,-2840.6393226915584,
313,313.0,-2840.6346294646337,
314,314.0,-2840.631465407057,
315,315.0,-2840.6306333957596,
316,316.0,-2840.6249207619758,
317,317.0,-2840.6215289251327,
318,318.0,-2840.6184417645386,
319,319.0,-2840.6172467280703,
320,320.0,-2840.615908692036,
321,321.0,-2840.5927722966553,
322,322.0,-2840.5881077990834,
323,323.0,-2840.5855161071145,
324,324.0,-2840.5820149008637,
325,325.0,-2840.5715726840504,
326,326.0,-2840.5701512522824,
327,327.0,-2840.5684812231216,
328,328.0,-2840.566148423869,
329,329.0,-2840.5557727517257,
330,330.0,-2840.5453047032156,
331,331.0,-2840.5338837961904,
332,332.0,-2840.518818496399,
333,333.0,-2840.517502715836,
334,334.0,-2840.5173595093224,
335,335.0,-2840.5172099729994,
336,336.0,-2840.5128960785237,
337,337.0,-2840.5108142330982,
338,338.0,-2840.50923848527,
339,339.0,-2840.506217908598,
340,340.0,-2840.504554849805,
341,341.0,-2840.503440736086,
342,342.0,-2840.4874928561467,
343,343.0,-2840.4755422843414,
344,344.0,-2840.4713874590775,
